,id,name,lat,lng,checkinsCount,tipCount,usersCount
9591,4c59615cf346c92866554cca,Gap,51.5339828500714,-0.10677133942199868,417,3,267
9592,5137c383e4b0a7f3ae4656c5,GBK Angel,51.533988470335714,-0.10665732072806343,57,2,41
9593,52f012aa11d2b55c562e7213,Jamie Oliver Italian restaurant,51.53480398334865,-0.10718104690338119,3,0,3
9594,4b02ef30f964a520294b22e3,Paperchase,51.534107,-0.106624,313,3,181
9595,4e4699b514959d51c164b4f1,s&s cycles,51.534368,-0.106954,3,0,3
9596,4acf2f9ef964a520a4d220e3,Gourmet Buffet,51.534138,-0.1065888,262,9,169
9597,507e89e3e4b0d17b700692de,Islington Centre For English Language School,51.53289432735076,-0.10711352400639836,169,0,30
9598,52ed0e93498e284de2ff4e9a,S. Cohen,51.53374,-0.108757,2,0,2
9599,4b094cb7f964a520641523e3,Butlers,51.534162685364606,-0.10649677875214672,213,1,112
9600,5045e44229a683960498d226,The Craft Beer Co.,51.532695303009504,-0.11052846908569336,1468,18,745
9601,4b6c6fe8f964a520173a2ce3,Indian Veg,51.533383,-0.110452,413,9,246
9602,4eb82717d3e3644ca75c9559,Little Georgia,51.53444290161133,-0.11130800098180771,80,7,69
9603,5130ab81e4b04f7732678ce8,Naturalis,51.53350251058279,-0.1102341511652141,90,5,36
9604,4cca8681c010f04d6498efcc,Star Cafe,51.533591147595345,-0.11238054731068277,13,0,9
9606,4cfa514ffeec6dcb7f073f36,John's Barbers,51.534357956364154,-0.11139222701484125,30,3,20
9607,52f51ceb498eafff7e3061b7,the joker of penton,51.533422,-0.111279,4,0,4
9608,4c30eba666e40f47ab42c48b,Spices Indian Restaurant,51.533468,-0.10999,190,7,108
9610,4ad45524f964a5209be720e3,Church on the Corner,51.53592543587211,-0.1110219955444336,442,2,30
9611,514f63ebe4b08d2822b746e8,Holy Cow Angel,51.533387,-0.11111,15,0,9
9612,4f5bd0b1e4b026f4c5af01b9,Sea Grass,51.53432202969763,-0.11239158217536609,5,0,4
9614,4c0b6c36bbc676b0828c4bd5,Islington Farmers’ Market,51.53346281401694,-0.10944485664367676,446,6,156
9615,4c37413a2c8020a135a38800,Islington Police Station,51.534098,-0.110756,91,0,66
9616,4c125d4ba5eb76b0fefebdb7,Vittoria Primary School,51.536395501295495,-0.11336543211929336,369,2,6
9617,4bcd9c3fb6c49c74a6909591,Culpeper Community Garden,51.53489473397065,-0.10950442504109006,163,1,52
9618,4fabaf53e4b003f5564f1d0f,Stotker Tattoo,51.53446725232619,-0.11085839308904102,8,0,2
9619,4dcaccbac65bebb82f41b245,Jubilee green,51.53441,-0.112187,2,0,2
9620,4d978cbba2c654811365dc53,Dolcetto,51.53348280289028,-0.1094972925720058,184,9,115
9621,4f9bbf9be4b08ea038ebe836,Sports Direct,51.53346677763177,-0.1100886354451119,26,0,20
9622,4d97289f0caaa143d71e8ab3,Sunglass Hut,51.534811,-0.110677,5,0,5
9623,4df904561f6e448ec291555d,Young Actors' Theatre Islington,51.53613610831523,-0.11081657964966819,40,0,19
9624,4e4a59bed4c0dae7bfca3992,Arc Integrated Health,51.535657,-0.110408,124,0,7
9625,4bc1d862abf495218381c193,Arcrose Newsagent,51.53640559921386,-0.11310083003242172,90,1,5
9626,51604842e4b0a489e81bb8af,The Little Nail Room,51.53451807333257,-0.11141584169236043,10,1,6
9627,4ac518c1f964a520d1a320e3,The Chapel,51.53267468117997,-0.11143775813261919,199,1,144
9628,4ac518c5f964a520f4a420e3,Anam Bar,51.5333667,-0.1107012,202,7,154
9629,4df769c745dd222116c946b8,Daisy's Dutchpot,51.53397369437394,-0.11142891398296188,33,1,13
9630,4c1142c3416620a10fccd8e4,TfL Bus 91,51.52144335689963,-0.12929399315786763,1284,5,204
9631,4b6b3692f964a520f3f92be3,Thornhill Arms,51.534377136326285,-0.11700868606567383,289,3,149
9632,4ad5e97af964a520f10321e3,Canal 125,51.53478967129445,-0.11725984388801486,768,5,454
9633,4e3a698118a80688f966dcde,OMD International,51.53476266700823,-0.11865682412007515,1027,5,178
9634,4ac518c5f964a520e7a420e3,The Driver,51.533591,-0.118829,1233,12,871
9635,4b0d29a6f964a520324423e3,Wolff Olins,51.5348976911883,-0.11870384216308594,764,2,141
9636,4b02a9a0f964a5204b4922e3,NCVO,51.53475300409318,-0.11811526801278906,188,2,114
9637,523ad749498e67e0b7c581c2,Knight's Desk,51.534285,-0.117843,1,0,1
9638,5098dd72e4b0200008305596,Annalect,51.53483416505117,-0.11902194900314209,53,0,11
9639,4d0099696923721e3a89c53b,Killick Street Health Centre,51.53388994497275,-0.11888623237609863,59,1,30
9640,4f92bd3de4b03828fd3b3361,Azeri Cuisine,51.53336051408316,-0.11889070924451459,43,4,30
9641,5111058ce4b05c5f2444f5fb,Thornhill Bridge,51.53497470628873,-0.1170839289357299,14,1,8
9642,4ba8d2a1f964a520cef139e3,Vx,51.532905,-0.119527,281,4,124
9643,4ac518cdf964a520eba520e3,London Canal Museum,51.534144518538035,-0.12014204065016451,461,35,244
9644,4b694fa9f964a5207d9e2be3,Pan Macmillan,51.53383,-0.119861,75,1,32
9645,51e1c128498e5dc07869ec93,138 Caledonian,51.534088,-0.117652,7,0,2
9646,50bc81dae4b07fbe8ed1e558,Bond HQ London,51.53487075751087,-0.11832888052861866,7,0,6
9647,504f9829e4b04e8a4be74ed6,Millers Bar,51.53411,-0.118221,5,0,5
9648,4eab0434b8f7a50de91026b0,Caledonian Road - Killick Street - Bus Stop Z,51.53398870974452,-0.11757891619852794,21,0,10
